Nama Anda,Wall-e,The Terminator,The Wizard of Oz,Jaws,Gladiator,The Avengers,Zootopia,Aladdin,Spider-Man: Homecoming,Guardians of the Galaxy Vol. 2
Hania,3,5,4,4,4,,,,,
Topik Zulkarnain,,,,,,5,5,,4,2
AhokTemanFirli,,,,,,3,,,,4
franadek,4,4,4,5,3,5,4,5,4,4
OM INDRA,3,,2,,5,5,,1,5,5
Mulya,,,,,,4,2,5,4,3
Genjeh,5,4,3,,,5,,5,4,4
faizah,3,,5,5,4,5,,,,
Dpv,5,4,4,,,5,,,5,5
Putrisqiana,4,3,2,4,3,5,,,4,3
Nonton_Saat_Diskon,4,3,3,,,5,5,5,4,5
Romantika,5,,5,,,,,,,
ANI,4,,4,5,,,,4,3,4
Rima,5,5,5,4,3,5,4,5,5,5
bunga,,4,4,,,5,5,5,5,5
Jawaharal,2,4,3,,5,5,4,5,5,4
Febi ganteng gak ada obat,4,3,4,,,5,,5,5,4
Star,4,4,,,,5,5,5,,5
Indra Junior,4,,,,4,5,5,5,5,5
Indra 1991 SM,,5,,,,,,,,
Damar Teman Firli,5,,,,,5,,,5,
jul,,3,,,3,3,3,3,3,3
luck,3,,,,,4,,,,2
Maria O.,,,,,,,5,4,,
